date	price	amount
1527358968944	7556.8	0.1
1527358981885	7556.8	0.02
1527358986036	7556.7	-0.13855689
1527358986038	7556.7	-0.00944311
1527358989140	7554.4	-0.002
1527358989205	7554.4	-0.002
1527358989283	7554.4	-0.002
1527358989363	7554.4	-0.002
1527358989437	7554.4	-0.002
1527358989528	7552.6	-0.09
1527358991558	7552.6	-0.006695
1527359003753	7552.6	-0.13427
1527359003755	7552.6	-0.01
1527359003757	7552.6	-0.13855689
1527359005205	7550.1	0.1
1527359005843	7550	-0.1
1527359016347	7550.1	0.0861833
1527359017639	7550.1	0.05755339
1527359062458	7550.1	0.13855689
1527359062460	7550.1	0.00888092
1527359083658	7550.1	0.044143
1527359117930	7550.1	0.0380885
1527359137402	7550.1	2.14340386
1527359138713	7550.1	0.03978
1527359144192	7550.1	0.11935
1527359148520	7550	-2
1527359182353	7550	-0.0129
1527359207628	7550	-0.19549376
1527359213318	7550.1	0.14526364
1527359222449	7550.1	0.05095669
1527359223026	7550.1	0.00215784
1527359231021	7550.1	0.00262703
1527359266364	7550	-0.1
1527359266366	7550	-0.67786214
1527359273151	7550.1	0.0021
1527359273153	7550.1	0.13
1527359273155	7550.1	0.87309754
1527359273775	7550.9	-0.09823037
1527359273778	7550.4	-2.5
1527359276825	7550	-0.1
1527359322098	7550.1	0.05
1527359322101	7550	-0.01
1527359334390	7550.1	0.16994855
1527359342526	7550	-0.60178442
1527359355037	7550.2	-0.01
1527359355039	7550.1	-0.26867313
1527359408761	7552.8	0.13
1527359408765	7554.9	0.00867856
1527359408767	7555.5	0.4268
1527359408770	7555.6	0.55272001
1527359408773	7555.8	0.00867856
1527359408775	7556.3	0.87312287
1527359421321	7550.8	0.05
1527359426366	7550.1	-0.01951
1527359444364	7550.9	0.04900987
1527359452966	7551	0.00965552
1527359469902	7550.6	0.18
1527359471395	7551	-0.00523052
1527359499613	7550.5	0.002218
1527359509901	7550.4	0.03
1527359509903	7550.6	0.13
1527359541262	7551.2	0.01
1527359547157	7551.3	0.08
1527359553050	7551.1	-0.1
1527359562164	7551.6	0.01
1527359562687	7551.6	0.05
1527359569783	7551.5	0.01
1527359573936	7552.7	0.03548549
1527359574940	7552.7	0.03307824
1527359574961	7552.7	0.03307824
1527359576604	7551.4	0.00602402
1527359577115	7552.4	0.285
1527359578359	7551.5	0.03307824
1527359578410	7551.5	0.03307824
1527359579752	7552.7	0.01
1527359579754	7553.4	0.02307824
1527359579774	7551.6	0.03307824
1527359579918	7551.6	0.01417297
1527359580370	7551.6	0.01890527
1527359580380	7551.6	0.03307824
1527359580383	7551.6	0.06609052
1527359580387	7551.6	0.0137668
1527359580625	7553.4	0.10692176
1527359580628	7555.9	0.02525929
1527359582199	7551.7	0.03307824
1527359582229	7555.9	0.01732357
1527359582231	7555.9	0.01575467
1527359582260	7555.9	0.01432106
1527359582301	7555.9	0.607
1527359582447	7555.72769142	0.03307824
1527359582457	7555.72769142	0.00378845
1527359583089	7551.7	0.02928979
1527359583367	7551.7	0.03307824
1527359583387	7551.7	0.03307824
1527359583531	7551.7	0.34498582
1527359584033	7555.4	0.1538
1527359584036	7555.9	0.11671
1527359585546	7551.9	0.073
1527359589305	7551.7	0.06604748
1527359589308	7551.7	0.09779979
1527359620158	7553.8	0.13
1527359620162	7553.8	0.6214
1527359637127	7553.8	0.00340393
1527359653164	7553.8	0.50806655
1527359668614	7553.8	2.5
1527359679819	7553.8	0.01
1527359679908	7553.8	0.09
1527359683573	7553.8	0.04
1527359683659	7553.8	0.06
1527359706294	7553.8	0.01
1527359706296	7554.9	0.08041468
1527359722541	7554	0.14982389
1527359722543	7554	0.01
1527359722544	7554	0.05
1527359722547	7554.7	0.05087611
1527359729303	7554	0.003
1527359789186	7554	0.05480566
1527359789188	7555.4	0.04519434
1527359809241	7554	0.03371832
1527359809314	7554	0.06628168
1527359827420	7553.9	-0.1
1527359827423	7553.9	-0.055
1527359827425	7553.9	-0.1330215
1527359827428	7553.8	-0.1395785
1527359852326	7553.8	-4.4e-07
1527359908835	7553.8	-0.06042106
1527359912176	7553.7	-0.888287
1527359914370	7550.4	-0.03403902
1527359914373	7550.3	-0.05
1527359914376	7550	-2.9402623
1527359914379	7550	-1.48462651
1527359917694	7550	-4.44812149
1527359918240	7550	-0.002
1527359918261	7550	-0.002
1527359918282	7550	-0.002
1527359918302	7550	-0.002
1527359918746	7550	-0.71641359
1527359918749	7548.6	-0.5
1527359918765	7546.2	-0.006
1527359918767	7546.2	-1.21237061
1527359918769	7545.6	-0.62201554
1527359918771	7545	-3.92751562
1527359918774	7543.3	-0.07942969
1527359918777	7542.9	-0.05
1527359918779	7542.8	-0.02
1527359918782	7542.8	-0.02
1527359918784	7542.7	-2.17
1527359918786	7542.6	-0.02
1527359918788	7542.6	-0.02
1527359918790	7541.7	-0.7
1527359918798	7540.6	-0.5
1527359918801	7540.3	-0.2
1527359918804	7540.16171073	-0.4
1527359918807	7540	-0.08
1527359918809	7540	-1
1527359918811	7539.2	-3
1527359918813	7538	-0.5
1527359918817	7537.9	-0.66224727
1527359918819	7537.6	-3.5167447
1527359918822	7537.5	-1.05890138
1527359918824	7537.2	-4.24
1527359918826	7536.4	-9.01
1527359918837	7536.39458433	-0.05
1527359918840	7536.2	-0.3
1527359918843	7536.01243111	-1.3
1527359918851	7535.3	-14.1183616
1527359918857	7535.3	-0.17972
1527359919176	7543.3	-0.002
1527359919265	7543.3	-0.01
1527359919267	7543.3	-0.002
1527359919296	7543.3	-0.002
1527359919379	7543.3	-0.00282
1527359919453	7543.3	-0.06064546
1527359919547	7540.09547319	-0.03935454
1527359921279	7542.8	0.00615124
1527359922858	7542.7	-1
1527359922859	7542.7	-0.5536
1527359922862	7542.7	-0.18990822
1527359923964	7541.2	-0.006
1527359923966	7541.2	-0.4918
1527359926458	7540.3	0.1521168
1527359927102	7538.7	-0.2
1527359927704	7537.1	0.015
1527359927995	7537.1	0.015
1527359928182	7537.1	0.00200721
1527359929100	7537.1	0.34299877
1527359929183	7537.1	0.006
1527359929503	7537	-0.01
1527359932714	7537.1	0.3418608
1527359938806	7537	-0.01
1527359938808	7537	-0.3457
1527359938810	7536.9	-0.006
1527359938812	7536.5	-3
1527359938827	7535.1	-0.3
1527359938830	7535.1	-0.8
1527359938832	7533.9	-0.73134347
1527359938834	7533.8	-0.98103966
1527359938836	7533.8	-0.5529027
1527359938839	7533.7	-0.2
1527359938842	7533.65298057	-0.322
1527359938845	7532.9	-0.2
1527359938847	7532.5	-0.02
1527359938849	7532.2	-0.0498
1527359938851	7532.1	-0.02
1527359938853	7532	-0.5
1527359938856	7531.6	-0.02
1527359938858	7531.4	-0.02
1527359938859	7531.4	-0.02
1527359938862	7530.3	-0.5
1527359938865	7530.3	-0.8
1527359938867	7530.1	-0.7
1527359938870	7530	-0.2
1527359938873	7530	-1
1527359938876	7529.12958876	-0.25
1527359938880	7529.1	-0.05
1527359938882	7528.7	-9.27
1527359938885	7528	-2.5
1527359938888	7527.6	-0.58148705
1527359938891	7527.2	-0.01
1527359938894	7527.2	-0.07960674
1527359938896	7527.1	-16
1527359938898	7526.7	-4.4
1527359938900	7526.3	-5.56012038
1527359938903	7526.3	-0.2
1527359939274	7533.7	-0.002
1527359939294	7533.7	-0.002
1527359939315	7533.7	-0.002
1527359939317	7533.7	-0.002
1527359939336	7533.7	-0.002
1527359939356	7533.7	-0.002
1527359939367	7533.7	-0.002
1527359939369	7533.7	-0.002
1527359939387	7533.7	-0.002
1527359939390	7533.7	-0.002
1527359939408	7533.7	-0.002
1527359939410	7533.7	-0.002
1527359939438	7533.1	-0.002
1527359939552	7533.1	-0.002
1527359939554	7534	-0.002
1527359939594	7534	-0.002
1527359941480	7534.2	0.02
1527359941893	7534.1	-0.00235359
1527359943073	7534	-0.00220187
1527359946379	7534.1	0.1
1527359946821	7534.1	0.0786912
1527359946893	7534.1	0.0713088
1527359946896	7534.1	0.01663577
1527359949585	7534	-0.002
1527359949616	7534	-0.002
1527359949646	7534	-0.002
1527359952253	7534	-0.00397318
1527359954893	7534	-0.10197954
1527359959961	7534.1	0.0038181
1527359960197	7534	-0.002
1527359960228	7534	-0.002
1527359960249	7534	-0.002
1527359960269	7534	-0.002
1527359971136	7534	-2.492
1527359971137	7534	-0.149
1527359971142	7534	-0.3
1527359971144	7534	-0.5
1527359971146	7534	-0.2
1527359971161	7533.4	-0.8518
1527359971163	7533	-3
1527359971165	7531.6	-0.02
1527359971168	7531.6	-0.02
1527359971169	7531.6	-0.02
1527359971172	7531.6	-0.02
1527359971173	7531.6	-0.02
1527359971186	7531.4	-0.65984475
1527359971189	7531.34609731	-0.34613882
1527359971192	7530.8	-7.4371
1527359971195	7530.3	-0.49146907
1527359971198	7529.8	-0.5
1527359971201	7529	-0.2
1527359971203	7528.8	-0.7
1527359971214	7528.1	-0.65984475
1527359971218	7527.6	-1.41280261
1527359972314	7533.6	0.1
1527359972945	7533.5	0.0876
1527359973396	7530.7	0.02
1527359973529	7530.7	0.01
1527359976319	7531.7	0.1
